;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;КЛ-С650-175 04.00.000 СБ;Опора универсальная;"КЛ-С500-100 04.00.002 | Стойка | 2
КЛ-С500-100 04.00.003 | Пластина | 2
КЛ-С500-100 04.00.005 | Уголок №1 | 2
КЛ-С500-100 04.00.006 | Уголок №2 | 2
КЛ-С650-175 04.00.001 | Швеллер | 1
КЛ-С650-175 04.00.004 | Раскос | 2
";26.06.2025 16:17;КЛ-С650-175 04.00.000 СБ Опора универсальная.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 04.00.000 СБ Опора универсальная;14.02.2022 14:37;;;;;;;
;КЛ-С650-175 05.00.000 СБ;Патрубок выгрузной;"КЛ-С650-175 05.00.001 | Патрубок | 2
ЗС 300.01.00.100 СБ | Фланец 300 | 1
КЛ-С650-175 05.01.000 СБ | Фланец | 1
";26.06.2025 16:17;КЛ-С650-175 05.00.000 СБ Патрубок выгрузной.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 05.00.000 СБ Патрубок выгрузной;14.02.2022 14:35;;;;;;;
;КЛ-С650-175 05.01.000 СБ;Фланец;"КЛ-С500-100 05.01.002 | Планка фланца №2 | 2
КЛ-С650-175 05.01.001 | Планка фланца №1 | 2
";26.06.2025 16:17;КЛ-С650-175 05.01.000 СБ Фланец.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 05.00.000 СБ Патрубок выгрузной\КЛ-С650-175 05.01.000 СБ Фланец;14.02.2022 14:36;;;;;;;
;КЛ-С650-175 07.00.000 СБ;Юбка продольная;"КЛ-0С500-100 07.00.003 | Накладка юбки | 1
КЛ-0С650-175 07.00.001 | Кронштейн юбки | 1
";26.06.2025 16:17;КЛ-С650-175 07.00.000 СБ Юбка продольная.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 07.00.000 СБ Юбка продольная;14.03.2022 15:12;;;;;;;
;КЛ-С650-175 08.00.000 СБ;Патрубок выгрузной 300х300;"КЛ-С650-175 08.00.001 | Полупатрубок | 2
ЗС-250.20.01.000 СБ | Фланец | 1
КЛ-С650-175 05.01.000 СБ | Фланец | 1
";26.06.2025 16:17;КЛ-С650-175 08.00.000 СБ Патрубок выгрузной 300х300.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 08.00.000 СБ Патрубок выгрузной 300х300;05.03.2022 8:01;;;;;;;
;КЛ-С650-175 09.00.000 СБ;Планка дополнителная;"КЛ-С500-100 01.00.010 | Фиксатор | 2
КЛ-С650-175 01.03.000 СБ | Планка в сборе | 1
";26.06.2025 16:16;КЛ-С650-175 09.00.000 СБ Планка дополнительная.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 09.00.000 СБ Планка дополнительная;14.03.2022 15:08;;;;;;;
;КЛ-С650-175 10.00.000 СБ;Уголок крышки в сборе;"КЛ-С650-175 10.00.001 | Уголок крышки | 1
";26.06.2025 16:17;КЛ-С650-175 10.00.000 СБ Уголок крышки в сборе.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЛ-С650-175\КЛ-С650-175 10.00.000 СБ Уголок крышки в сборе;14.03.2022 14:57;;;;;;;
;КПУ-Z20 02.00.000 КН СБ;Комплект утепления канала подвода Z20 КН;"КПУ 00.00.100 | Лист фасадный заслонки | 1
КПУ 00.00.101 | Лист фасадный опоры | 4
КПУ 00.00.102 | Защита | 5
КПУ-Z20 00.00.003 | Лист фасадный №3 | 1
КПУ-Z20 00.00.003-01 | Лист фасадный №3 | 1
КПУ-Z20 00.00.004 | Лист фасадный №4 | 1
КПУ-Z20 00.00.004-01 | Лист фасадный №4 | 1
КПУ-Z20 00.00.005 | Лист фасадный №5 | 1
КПУ-Z20 00.00.007 | Лист фасадный №7 | 6
КПУ-Z20 00.00.007-01 | Лист фасадный №7 | 6
КПУ-Z20 00.00.008 | Лист фасадный №8 | 7
КПУ-Z20 00.00.009 | Лист фасадный №9 | 1
КПУ-Z20 00.00.009-01 | Лист фасадный №9 | 1
КПУ-Z20 00.00.010 | Лист фасадный №10 | 1
КПУ-Z20 00.00.010-01 | Лист фасадный №10 | 1
КПУ-Z20 00.00.012 | Лист фасадный №12 | 1
КПУ-Z20 00.00.012-01 | Лист фасадный №12 | 1
КПУ-Z20 00.00.013 | Лист фасадный №13 | 1
КПУ-Z20 00.00.015 | Лист фасадный №15 | 1
КПУ-Z20 00.00.017 | Лист фасадный №17 | 1
КПУ-Z20 00.00.019 | Лист фасадный №19 | 1
КПУ-Z20 00.00.019-01 | Лист фасадный №19 | 1
КПУ-Z20 00.00.020 | Лист фасадный №20 | 1
КПУ-Z20 00.00.020-01 | Лист фасадный №20 | 1
КПУ-Z20 00.00.021 | Лист фасадный №21 | 1
КПУ-Z20 00.00.021-01 | Лист фасадный №21 | 1
КПУ-Z20 00.00.022 | Лист фасадный №22 | 1
КПУ-Z20 00.00.022-01 | Лист фасадный №22 | 1
КПУ-Z20 00.00.023 | Лист фасадный №23 | 1
КПУ-Z20 00.00.025 | Лист фасадный №25 | 1
КПУ-Z20 00.00.027 | Лист фасадный №27 | 1
КПУ-Z20 00.00.028 | Лист фасадный №28 | 7
КПУ-Z20 00.00.029 | Лист фасадный №29 | 1
КПУ-Z20 00.00.030 | Лист фасадный №30 | 1
КПУ-Z20 00.00.031 | Лист фасадный №31 | 1
КПУ-Z20 00.00.032 | Лист фасадный №32 | 1
КПУ-Z20 00.00.033 | Лист фасадный №33 | 1
КПУ-Z20 00.00.103 | Лист фасадный крыши | 3
КПУ-Z20 00.00.103-01 | Лист фасадный крыши | 2
КПУ-Z20 00.00.104-04 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-05 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-06 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-07 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.105 | Ребро жесткости крыши верхней | 6
КПУ-Z20 00.00.200 | Лист фасадный пояса | 1
КПУ-Z20 00.00.200-01 | Лист фасадный пояса | 1
КПУ-Z20 00.00.201 | Лист фасадный пояса №1 | 1
КПУ-Z20 00.00.203 | Лист фасадный пояса №3 | 1
КПУ-Z20 00.00.204 | Лист фасадный пояса №4 | 1
КПУ-Z20 00.00.205 | Лист фасадный пояса №5 | 1
";07.07.2025 14:01;КПУ-Z20 02.00.000 КН СБ Комплект утепления канала подвода Z20 КН.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-Z20 02.00.000 Комплект утепления канала подвода;04.07.2024 8:18;;;;;;;
;КПУ-Z30 01.00.000 СБ;Комплект утепления шахты;"КПУ 00.00.002 | Лист фасадный №1 | 8
КПУ-Z20 00.00.001 | Лист фасадный №1 | 1
КПУ-Z20 00.00.002 | Лист фасадный №2 | 1
";26.06.2025 15:39;КПУ-Z30 01.00.000 СБ Комплект утепления шахты.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-Z30 00.00.000 - Комплект утепления сушилки Z30\КПУ-Z30 01.00.000 Комплект утепления шахты;25.03.2024 10:50;;;;;;;
;КПУ-Z30 02.00.000 СБ;Комплект утепления канала подвода Z30 КН;"КПУ 00.00.100 | Лист фасадный заслонки | 1
КПУ 00.00.101 | Лист фасадный опоры | 4
КПУ 00.00.102 | Защита | 5
КПУ-Z20 00.00.003 | Лист фасадный №3 | 1
КПУ-Z20 00.00.003-01 | Лист фасадный №3 | 1
КПУ-Z20 00.00.004 | Лист фасадный №4 | 1
КПУ-Z20 00.00.004-01 | Лист фасадный №4 | 1
КПУ-Z20 00.00.005 | Лист фасадный №5 | 1
КПУ-Z20 00.00.005-01 | Лист фасадный №5 | 1
КПУ-Z20 00.00.006 | Лист фасадный №6 | 1
КПУ-Z20 00.00.007 | Лист фасадный №7 | 6
КПУ-Z20 00.00.007-01 | Лист фасадный №7 | 6
КПУ-Z20 00.00.008 | Лист фасадный №8 | 7
КПУ-Z20 00.00.008-01 | Лист фасадный №8 | 7
КПУ-Z20 00.00.009 | Лист фасадный №9 | 1
КПУ-Z20 00.00.009-01 | Лист фасадный №9 | 1
КПУ-Z20 00.00.010 | Лист фасадный №10 | 1
КПУ-Z20 00.00.010-01 | Лист фасадный №10 | 1
КПУ-Z20 00.00.011 | Лист фасадный №11 | 7
КПУ-Z20 00.00.012 | Лист фасадный №12 | 1
КПУ-Z20 00.00.012-01 | Лист фасадный №12 | 1
КПУ-Z20 00.00.013 | Лист фасадный №13 | 1
КПУ-Z20 00.00.013-01 | Лист фасадный №13 | 1
КПУ-Z20 00.00.014 | Лист фасадный №14 | 1
КПУ-Z20 00.00.015 | Лист фасадный №15 | 1
КПУ-Z20 00.00.015-01 | Лист фасадный №15 | 1
КПУ-Z20 00.00.016 | Лист фасадный №16 | 1
КПУ-Z20 00.00.017 | Лист фасадный №17 | 1
КПУ-Z20 00.00.017-01 | Лист фасадный №17 | 1
КПУ-Z20 00.00.018 | Лист фасадный №18 | 1
КПУ-Z20 00.00.019 | Лист фасадный №19 | 1
КПУ-Z20 00.00.019-01 | Лист фасадный №19 | 1
КПУ-Z20 00.00.020 | Лист фасадный №20 | 1
КПУ-Z20 00.00.020-01 | Лист фасадный №20 | 1
КПУ-Z20 00.00.021 | Лист фасадный №21 | 1
КПУ-Z20 00.00.021-01 | Лист фасадный №21 | 1
КПУ-Z20 00.00.022 | Лист фасадный №22 | 1
КПУ-Z20 00.00.022-01 | Лист фасадный №22 | 1
КПУ-Z20 00.00.023 | Лист фасадный №23 | 1
КПУ-Z20 00.00.023-01 | Лист фасадный №23 | 1
КПУ-Z20 00.00.024 | Лист фасадный №24 | 1
КПУ-Z20 00.00.025 | Лист фасадный №25 | 1
КПУ-Z20 00.00.025-01 | Лист фасадный №25 | 1
КПУ-Z20 00.00.026 | Лист фасадный №26 | 1
КПУ-Z20 00.00.103 | Лист фасадный крыши | 4
КПУ-Z20 00.00.103-01 | Лист фасадный крыши | 3
КПУ-Z20 00.00.104 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-01 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-02 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-03 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-04 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-05 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-06 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-07 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.105 | Ребро жесткости крыши верхней | 9
КПУ-Z20 00.00.200 | Лист фасадный пояса | 1
КПУ-Z20 00.00.200-01 | Лист фасадный пояса | 1
КПУ-Z20 00.00.201 | Лист фасадный пояса №1 | 1
КПУ-Z20 00.00.201-01 | Лист фасадный пояса №1 | 1
КПУ-Z20 00.00.202 | Лист фасадный пояса №2 | 2
КПУ-Z20 00.00.203 | Лист фасадный пояса №3 | 1
КПУ-Z20 00.00.203-01 | Лист фасадный пояса №3 | 1
";07.07.2025 14:02;;;;;;;;;;
;КПУ-Z40 01.00.000 СБ;Комплект утепления шахты;"КПУ 00.00.002 | Лист фасадный №1 | 11
КПУ-Z20 00.00.001 | Лист фасадный №1 | 1
КПУ-Z20 00.00.002 | Лист фасадный №2 | 1
";26.06.2025 15:39;КПУ-Z40 01.00.000 СБ Комплект утепления шахты.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-Z40 00.00.000 - Комплект утепления сушилки Z40\КПУ-Z40 01.00.000 Комплект утепления шахты;07.08.2024 16:30;;;;;;;
;КПУ-Z40 02.00.000 КН СБ;Комплект утепления канала подвода Z40 КН;"КПУ 00.00.100 | Лист фасадный заслонки | 1
КПУ 00.00.101 | Лист фасадный опоры | 4
КПУ 00.00.102 | Защита | 5
КПУ-Z20 00.00.003 | Лист фасадный №3 | 1
КПУ-Z20 00.00.003-01 | Лист фасадный №3 | 1
КПУ-Z20 00.00.004 | Лист фасадный №4 | 1
КПУ-Z20 00.00.004-01 | Лист фасадный №4 | 1
КПУ-Z20 00.00.005 | Лист фасадный №5 | 1
КПУ-Z20 00.00.005-01 | Лист фасадный №5 | 1
КПУ-Z20 00.00.006 | Лист фасадный №6 | 1
КПУ-Z20 00.00.007 | Лист фасадный №7 | 8
КПУ-Z20 00.00.007-01 | Лист фасадный №7 | 8
КПУ-Z20 00.00.008 | Лист фасадный №8 | 10
КПУ-Z20 00.00.008-01 | Лист фасадный №8 | 10
КПУ-Z20 00.00.009 | Лист фасадный №9 | 1
КПУ-Z20 00.00.009-01 | Лист фасадный №9 | 1
КПУ-Z20 00.00.010 | Лист фасадный №10 | 1
КПУ-Z20 00.00.010-01 | Лист фасадный №10 | 1
КПУ-Z20 00.00.011 | Лист фасадный №11 | 10
КПУ-Z20 00.00.012 | Лист фасадный №12 | 1
КПУ-Z20 00.00.012-01 | Лист фасадный №12 | 1
КПУ-Z20 00.00.013 | Лист фасадный №13 | 1
КПУ-Z20 00.00.013-01 | Лист фасадный №13 | 1
КПУ-Z20 00.00.014 | Лист фасадный №14 | 1
КПУ-Z20 00.00.015 | Лист фасадный №15 | 1
КПУ-Z20 00.00.015-01 | Лист фасадный №15 | 1
КПУ-Z20 00.00.016 | Лист фасадный №16 | 1
КПУ-Z20 00.00.017 | Лист фасадный №17 | 1
КПУ-Z20 00.00.017-01 | Лист фасадный №17 | 1
КПУ-Z20 00.00.018 | Лист фасадный №18 | 1
КПУ-Z20 00.00.019 | Лист фасадный №19 | 1
КПУ-Z20 00.00.019-01 | Лист фасадный №19 | 1
КПУ-Z20 00.00.020 | Лист фасадный №20 | 2
КПУ-Z20 00.00.020-01 | Лист фасадный №20 | 2
КПУ-Z20 00.00.021 | Лист фасадный №21 | 1
КПУ-Z20 00.00.021-01 | Лист фасадный №21 | 1
КПУ-Z20 00.00.022 | Лист фасадный №22 | 1
КПУ-Z20 00.00.022-01 | Лист фасадный №22 | 1
КПУ-Z20 00.00.023 | Лист фасадный №23 | 1
КПУ-Z20 00.00.023-01 | Лист фасадный №23 | 1
КПУ-Z20 00.00.024 | Лист фасадный №24 | 1
КПУ-Z20 00.00.025 | Лист фасадный №25 | 1
КПУ-Z20 00.00.025-01 | Лист фасадный №25 | 1
КПУ-Z20 00.00.026 | Лист фасадный №26 | 1
КПУ-Z20 00.00.103 | Лист фасадный крыши | 4
КПУ-Z20 00.00.103-01 | Лист фасадный крыши | 3
КПУ-Z20 00.00.104 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-01 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-02 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-03 | Ребро жесткости крыши нижней | 1
КПУ-Z20 00.00.104-04 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-05 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-06 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.104-07 | Ребро жесткости крыши нижней | 2
КПУ-Z20 00.00.105 | Ребро жесткости крыши верхней | 9
КПУ-Z20 00.00.200 | Лист фасадный пояса | 1
КПУ-Z20 00.00.200-01 | Лист фасадный пояса | 1
КПУ-Z20 00.00.201 | Лист фасадный пояса №1 | 1
КПУ-Z20 00.00.201-01 | Лист фасадный пояса №1 | 1
КПУ-Z20 00.00.202 | Лист фасадный пояса №2 | 2
КПУ-Z20 00.00.203 | Лист фасадный пояса №3 | 1
КПУ-Z20 00.00.203-01 | Лист фасадный пояса №3 | 1
";07.07.2025 14:03;КПУ-Z40 02.00.000 КН СБ Комплект утепления канала подвода Z40 КН.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-Z40 00.00.000 - Комплект утепления сушилки Z40\КПУ-Z40 02.00.000 Комплект утепления канала подвода;08.08.2024 7:47;;;;;;;
;КПУ-ZM20 02.10.000 СБ;Проставка регулятора КП;"КПУ 00.00.104-01 | Стойка проставки регулятора | 2
КПУ 00.00.105-01 | Перекладина проставки регулятора | 2
";26.06.2025 15:49;КПУ-ZM20 02.10.000 СБ Проставка регуляра КП.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-ZM20 02.00.000 Комплект утепления канала подвода\КПУ-ZM20 02.10.000 Проставка регуляра КП;21.07.2023 14:37;;;;;;;
;КПУ-ZM20 03.10.000 СБ;Проставка регулятора КО;"КПУ 00.00.104 | Стойка проставки регулятора | 2
КПУ 00.00.105 | Перекладина проставки регулятора | 2
";26.06.2025 15:49;КПУ-ZM20 03.10.000 СБ Проставка регуляра КО.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-ZM20 03.00.000 Комплект утепления канала отвода\КПУ-ZM20 03.10.000 Проставка регуляра КО;21.07.2023 14:36;;;;;;;
;КПУ-ZM80 01.00.000 СБ;Комплект утепления шахты;"КПУ 00.00.001 | Лист фасадный стартовый | 1
КПУ 00.00.002 | Лист фасадный №1 | 15
КПУ 00.00.054 | Лист фасадный №53 | 1
";26.06.2025 15:49;КПУ-ZM80 01.00.000 СБ Комплект утепления шахты.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-ZM80 01.00.000 Комплект утепления шахты;13.10.2023 13:16;;;;;;;
;КПУ-ZM80 02.00.000 СБ;Комплект утепления канала подвода;"КПУ 00.00.007 | Лист фасадный №6 | 10
КПУ 00.00.007-01 | Лист фасадный №6 | 10
КПУ 00.00.008 | Лист фасадный №7 | 4
КПУ 00.00.008-01 | Лист фасадный №7 | 4
КПУ 00.00.009 | Лист фасадный №8 | 3
КПУ 00.00.009-01 | Лист фасадный №8 | 3
КПУ 00.00.014 | Лист фасадный №13 | 11
КПУ 00.00.014-01 | Лист фасадный №13 | 11
КПУ 00.00.015 | Лист фасадный №14 | 11
КПУ 00.00.016 | Лист фасадный №15 | 11
КПУ 00.00.017 | Лист фасадный №16 | 1
КПУ 00.00.017-01 | Лист фасадный №16 | 1
КПУ 00.00.018 | Лист фасадный №17 | 1
КПУ 00.00.019 | Лист фасадный №18 | 1
КПУ 00.00.020 | Лист фасадный №19 | 1
КПУ 00.00.020-01 | Лист фасадный №19 | 1
КПУ 00.00.021 | Лист фасадный №20 | 1
КПУ 00.00.022 | Лист фасадный №21 | 1
КПУ 00.00.026 | Лист фасадный №25 | 3
КПУ 00.00.026-01 | Лист фасадный №25 | 3
КПУ 00.00.027 | Лист фасадный №26 | 3
КПУ 00.00.028 | Лист фасадный №27 | 3
КПУ 00.00.029 | Лист фасадный №28 | 1
КПУ 00.00.029-01 | Лист фасадный №28 | 1
КПУ 00.00.030 | Лист фасадный №29 | 1
КПУ 00.00.030-01 | Лист фасадный №29 | 1
КПУ 00.00.031 | Лист фасадный №30 | 1
КПУ 00.00.031-01 | Лист фасадный №30 | 1
КПУ 00.00.032 | Лист фасадный №31 | 5
КПУ 00.00.032-01 | Лист фасадный №31 | 5
КПУ 00.00.033 | Лист фасадный №32 | 1
КПУ 00.00.034 | Лист фасадный №33 | 1
КПУ 00.00.035 | Лист фасадный №34 | 1
КПУ 00.00.035-01 | Лист фасадный №34 | 1
КПУ 00.00.036 | Лист фасадный №35 | 1
КПУ 00.00.037 | Лист фасадный №36 | 1
КПУ 00.00.038 | Лист фасадный №37 | 1
КПУ 00.00.038-01 | Лист фасадный №37 | 1
КПУ 00.00.039 | Лист фасадный №38 | 1
КПУ 00.00.039-01 | Лист фасадный №38 | 1
КПУ 00.00.040 | Лист фасадный №39 | 5
КПУ 00.00.040-01 | Лист фасадный №39 | 5
КПУ 00.00.041 | Лист фасадный №40 | 1
КПУ 00.00.041-01 | Лист фасадный №40 | 1
КПУ 00.00.042 | Лист фасадный №41 | 1
КПУ 00.00.043 | Лист фасадный №42 | 1
КПУ 00.00.044 | Лист фасадный №43 | 1
КПУ 00.00.044-01 | Лист фасадный №43 | 1
КПУ 00.00.045 | Лист фасадный №44 | 1
КПУ 00.00.046 | Лист фасадный №45 | 1
КПУ 00.00.047 | Лист фасадный №46 | 1
КПУ 00.00.047-01 | Лист фасадный №46 | 1
КПУ 00.00.048 | Лист фасадный №47 | 1
КПУ 00.00.048-01 | Лист фасадный №47 | 1
КПУ 00.00.049 | Лист фасадный №48 | 1
КПУ 00.00.049-01 | Лист фасадный №48 | 1
КПУ 00.00.050 | Лист фасадный №49 | 1
КПУ 00.00.051 | Лист фасадный №50 | 1
КПУ 00.00.052 | Лист фасадный №51 | 1
КПУ 00.00.053 | Лист фасадный №52 | 1
КПУ 00.00.059 | Лист фасадный №58 | 1
КПУ 00.00.059-01 | Лист фасадный №58 | 1
КПУ 00.00.060 | Лист фасадный №59 | 1
КПУ 00.00.061 | Лист фасадный №60 | 1
КПУ 00.00.062 | Лист фасадный №61 | 1
КПУ 00.00.062-01 | Лист фасадный №61 | 1
КПУ 00.00.063 | Лист фасадный №62 | 1
КПУ 00.00.064 | Лист фасадный №63 | 1
КПУ 00.00.100 | Лист фасадный заслонки | 1
КПУ 00.00.101 | Лист фасадный опоры | 4
КПУ 00.00.101-01 | Лист фасадный опоры | 3
КПУ 00.00.101-02 | Лист фасадный опоры | 2
КПУ 00.00.102 | Защита | 5
КПУ 00.00.103 | Лист фасадный крыши | 5
КПУ 00.00.103-01 | Лист фасадный крыши | 4
КПУ-ZM20 02.10.000 СБ | Проставка регулятора КП | 2
";26.06.2025 15:49;КПУ-ZM80 02.00.000 СБ Комплект утепления канала подвода.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-ZM80 02.00.000 Комплект утепления канала подвода;13.10.2023 13:16;;;;;;;
;КПУ-ZM80 03.00.000 СБ;Комплект утепления канала отвода;"КПУ 00.00.006 | Лист фасадный №5 | 1
КПУ 00.00.006-01 | Лист фасадный №5 | 1
КПУ 00.00.010 | Лист фасадный №9 | 15
КПУ 00.00.010-01 | Лист фасадный №9 | 15
КПУ 00.00.014 | Лист фасадный №13 | 15
КПУ 00.00.014-01 | Лист фасадный №13 | 15
КПУ 00.00.015 | Лист фасадный №14 | 15
КПУ 00.00.016 | Лист фасадный №15 | 15
КПУ 00.00.023 | Лист фасадный №22 | 1
КПУ 00.00.023-01 | Лист фасадный №22 | 1
КПУ 00.00.024 | Лист фасадный №23 | 1
КПУ 00.00.025 | Лист фасадный №24 | 1
КПУ 00.00.055 | Лист фасадный №54 | 1
КПУ 00.00.055-01 | Лист фасадный №54 | 1
КПУ 00.00.056 | Лист фасадный №55 | 1
КПУ 00.00.056-01 | Лист фасадный №55 | 1
КПУ 00.00.057 | Лист фасадный №56 | 1
КПУ 00.00.058 | Лист фасадный №57 | 1
КПУ 00.00.101 | Лист фасадный опоры | 2
КПУ 00.00.101-01 | Лист фасадный опоры | 3
КПУ 00.00.102 | Защита | 4
КПУ-ZM20 03.10.000 СБ | Проставка регулятора КО | 4
";26.06.2025 15:49;КПУ-ZM80 03.00.000 СБ Комплект утепления канала отвода.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КПУ 00.00.000 - Комплект утепления сушилки\КПУ-ZM80 03.00.000 Комплект утепления канала отвода;13.10.2023 13:14;;;;;;;
;КТП-ZM80 00.00.000 СБ;Комплект для монтажа термоподвесок ZM80;"КТП-ZM80 00.00.001 | Держатель термоподвесок | 2
КТП-ZM80 00.00.002 | Крышка | 2
КТП-ZM80 00.10.000 СБ | Лист люка в сборе | 1
КТП-ZM80 00.10.000-01 СБ | Лист люка в сборе | 1
КТП-ZM80 00.10.000-02 СБ | Лист люка в сборе | 1
КТП-ZM80 00.20.000 СБ | Кронштейн термоподвески | 108
";26.06.2025 15:49;КТП-ZM80 00.00.000 СБ Комплект для монтажа термоподвесок ZM80.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КТП-ZM80 00.00.000 - Комплект для монтажа термоподвесок ZM80;21.07.2023 15:55;;;;;;;
;КТП-ZM80 00.10.000 СБ;Лист люка в сборе;"КТП-ZM80 00.10.001 | Лист люка | 1
";26.06.2025 15:49;;;;;;;;;;
;КТП-ZM80 00.10.000-01 СБ;Лист люка в сборе;"КТП-ZM80 00.10.001-01 | Лист люка | 1
";26.06.2025 15:49;;;;;;;;;;
;КТП-ZM80 00.10.000-02 СБ;Лист люка в сборе;"КТП-ZM80 00.10.001 | Лист люка | 1
";26.06.2025 15:49;;;;;;;;;;
;КТП-ZM80 00.20.000 СБ;Кронштейн термоподвески;"КТП-ZM80 00.20.001 | Кронштейн | 1
";26.06.2025 15:49;КТП-ZM80 00.20.000 СБ Кронштейн термоподвески.cdw;K:\1 ЧЕРТЕЖИ\ЗЛАТА-М\КТП-ZM80 00.00.000 - Комплект для монтажа термоподвесок ZM80\КТП-ZM80 00.20.000 - Кронштейн термоподвески;21.07.2023 15:56;;;;;;;
;КЦ200А.08.00.000 СБ;Воронка под заслонку;"КЦ200А.08.00.001 | Стенка №1 | 2
КЦ200А.08.00.002 | Стенка №2 | 2
";26.06.2025 16:20;КЦ200А.08.00.000 СБ Воронка под заслонку.cdw;K:\1 ЧЕРТЕЖИ\КОНВЕЙЕРЫ\КЦ-200А\КЦ200А.08.00.000 СБ Воронка под заслонку;22.01.2021 8:42;;;;;;;
;КЦ-200А1 01.00.000 СБ;Секция приводная;"КЦ-200А1 01.00.001 | Стенка боковая | 1
КЦ-200А1 01.00.001-01 | Стенка боковая | 1
КЦ-200А1 01.00.002 | Дно секции приводной | 1
КЦ-200А1 01.00.003 | Дно ПНД | 1
КЦ-200А1 01.00.004 | Уголок крышки | 1
КЦ-200А1 01.00.005 | Вал приводной | 1
КЦ-200А1 01.00.006 | Плита подмоторная | 1
КЦ-200А1 01.00.008 | Рамка на стекло | 2
КЦ-200А1 01.00.009 | Уголок | 2
КЦ-200А1 01.00.010 | Распорка | 4
КЦ-В300/30 01.00.015 | Кронштейн | 15
ШТ-02 | Шайба торцевая | 2
Сталь шпоночная 8х7 (105) | Сталь шпоночная 8х7 | 1
Сталь шпоночная 10х8 (26) | Сталь шпоночная 10х8 | 1
КЦ-200А1 01.01.000 СБ | Крышка секции приводной в сборе | 1
КЦ-200А1 01.03.000 СБ | Стенка торцевая | 1
КЦ-200А1 01.04.000 СБ | Плита в сборе | 1
КЦ-200А1 01.04.000-01 СБ | Плита в сборе | 1
КЦ-200А1 01.05.000 СБ | Кожух для NMRV-075 | 1
КЦ-200А1 01.07.000 СБ | Крышка люка | 1
";26.06.2025 16:16;;;;;;;;;;
