;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;АБ-2.00 СБ;Анкерный блок АБ-2;"АБ-2.01 | Уголок 50х50 | 4
АБ-2.02 | Уголок 50х50 | 4
АБ-2.03 | Шпилька | 4
";26.06.2025 15:54;АБ-2.00 СБ Анкерный блок АБ-2.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\Детали общей сборки\Анкерные блоки\АБ-2.00 Анкерный блок АБ-2;05.06.2024 11:53;;;;;;;
;АБ-3.00 СБ;Анкерный блок АБ-3;"АБ-3.01 | Уголок 50х50 | 8
АБ-3.02 | Шпилька | 4
";26.06.2025 15:54;АБ-3.00 СБ Анкерный блок АБ-3.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\Детали общей сборки\Анкерные блоки\АБ-3.00 Анкерный блок АБ-3;07.06.2024 9:36;;;;;;;
;АБ-4.00 СБ;Анкерный блок АБ-4;"АБ-4.01 | Уголок 32х32 | 8
АБ-4.02 | Шпилька | 4
";07.07.2025 8:17;АБ-4.00 СБ Анкерный блок АБ-4.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\Детали общей сборки\Анкерные блоки\АБ-4.00 Анкерный блок АБ-4;04.12.2024 10:16;;;;;;;
;АБ-5.00 СБ;Анкерный блок АБ-5;"АБ-5.01 | Уголок 50х50 | 4
АБ-5.02 | Уголок 50х50 | 4
АБ-5.03 | Шпилька | 4
";26.06.2025 15:54;АБ-5.00 СБ Анкерный блок АБ-5.cdw;K:\1 ЧЕРТЕЖИ\ЗЕРНОСУШИЛКИ\Детали общей сборки\Анкерные блоки\АБ-5.00 Анкерный блок АБ-5;15.01.2025 11:14;;;;;;;
;б/н;Молниеприемник;"б/н | Стержень ? 14 | 1
б/н | Труба ВГП 20х2,8 | 1
б/н | Труба ВГП 32х3,2 | 1
";;;;;;;;;;;
;б/н;Молниеприемник;"Стержень ? 14 (2000) | Стержень ? 14 | 1
Труба ВГП 20х2,8 (3000) | Труба ВГП 20х2,8 | 1
Труба ВГП 32х3,2 (3000) | Труба ВГП 32х3,2 | 1
";26.06.2025 15:54;;;;;;;;;;
;БКН-2,5 00.00.000 СБ;Блок топочный вертикальный 2,5;"БКН-3,2 00.00.001 | Дымоход | 8
БКН-3,2 00.00.002 | Ухо строповочное | 2
БКН-2,5 01.00.000 СБ | Камера сгорания | 1
БКН-2,5 02.00.000 СБ | Теплообменник | 1
БКН-3,2 04.00.000 СБ | Опора | 2
БКН-3,2 04.00.000-01 СБ | Опора | 2
БКН-3,2 04.00.000-02 СБ | Опора | 3
БКН-3,2 05.00.000 СБ | Коллектор | 1
БКН-3,2 06.00.000 СБ | Подставка | 2
";17.07.2025 16:30;БКН-2,5 00.00.000 СБ Блок топочный вертикальный 2,5.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5;17.07.2025 16:15;;;;;;;
;БКН-2,5 01.00.000 СБ;Камера сгорания;"БКН-3,2 01.00.001 | Кронштейн грузовой | 6
БКН-3,2 01.00.002 | Упор | 10
БКН-3,2 01.00.003 | Кронштейн | 12
БКН-2,5 01.01.000 СБ | Развертка трубы | 1
БКН-3,2 01.02.000 СБ | Конус в сборе | 1
БКН-3,2 01.03.000 СБ | Переход в сборе | 4
БКН-3,2 01.04.000 СБ | Дверь | 1
";17.07.2025 16:30;БКН-2,5 01.00.000 СБ Камера сгорания.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 01. Камера сгорания;17.07.2025 16:15;;;;;;;
;БКН-2,5 01.01.000 СБ;Развертка трубы;"БКН-2,5 01.01.001 | Лист замыкающий №3 | 1
БКН-3,2 01.01.001 | Лист с вырезами №1 | 1
БКН-3,2 01.01.002 | Лист с вырезами №2 | 1
БКН-3,2 01.01.003 | Лист 500х1000 | 1
БКН-3,2 01.01.004 | Лист замыкающий №1 | 1
БКН-3,2 01.01.005 | Лист замыкающий №2 | 1
БКН-3,2 01.01.007 | Лист №1 | 6
БКН-3,2 01.01.008 | Лист №2 | 1
";17.07.2025 16:30;БКН-2,5 01.01.000 СБ Развертка трубы.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 01. Камера сгорания\БКН-2,5 01.01. Развертка трубы;12.05.2025 11:52;;;;;;;
;БКН-2,5 02.00.000 СБ;Теплообменник;"БКН-3,2 02.03.001 | Подвес | 2
БКН-2,5 02.01.000 СБ | Труба внутренняя | 1
БКН-2,5 02.02.000 СБ | Развертка трубы внешней | 1
БКН-2,5 02.03.000 СБ | Балка | 1
";17.07.2025 16:30;БКН-2,5 02.00.000 СБ Теплообменник.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник;13.05.2025 11:30;;;;;;;
;БКН-2,5 02.01.000 СБ;Труба внутренняя;"БКН-3,2 01.00.001-01 | Кронштейн грузовой | 6
БКН-3,2 02.01.001 | Лист 2,0 AISI-430 | 24
БКН-3,2 02.01.002 | Ребро | 60
БКН-2,5 02.01.100 СБ | Развертка трубы внутренней | 1
БКН-3,2 02.01.200 СБ | Лопатка в сборе | 48
БКН-3,2 02.01.300 СБ | Кольцо торцевое | 2
";17.07.2025 16:30;БКН-2,5 02.01.000 СБ Труба внутренняя.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник\БКН-2,5 02.01. Труба внутренняя;19.05.2025 11:16;;;;;;;
;БКН-2,5 02.01.100 СБ;Развертка трубы внутренней;"БКН-2,5 02.01.101 | Лист №2 | 1
БКН-2,5 02.01.102 | Лист №4 | 1
БКН-2,5 02.01.103 | Лист №8 | 2
БКН-2,5 02.01.104 | Лист №10 | 2
БКН-2,5 02.01.105 | Лист №14 | 1
БКН-3,2 02.01.101 | Лист №1 | 1
БКН-3,2 02.01.103 | Лист №3 | 1
БКН-3,2 02.01.105 | Лист №5 | 1
БКН-3,2 02.01.106 | Лист №6 | 1
БКН-3,2 02.01.107 | Лист №7 | 2
БКН-3,2 02.01.109 | Лист №9 | 2
БКН-3,2 02.01.111 | Лист №11 | 1
БКН-3,2 02.01.112 | Лист №12 | 1
БКН-3,2 02.01.113 | Лист №13 | 1
";17.07.2025 16:30;БКН-2,5 02.01.100 СБ Развертка трубы внутренней.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник\БКН-2,5 02.01. Труба внутренняя\БКН-2,5 02.01.1 Разв. тр. внут;12.05.2025 13:35;;;;;;;
;БКН-2,5 02.02.000 СБ;Развертка трубы внешней;"БКН-2,5 02.02.001 | Лист 3,0 AISI-430 | 1
БКН-3,2 02.02.001 | Лист 3,0 AISI-321 | 3
БКН-3,2 02.02.002 | Лист 3,0 AISI-321 | 1
БКН-3,2 02.02.003 | Лист 3,0 AISI-430 | 15
БКН-3,2 02.02.004 | Лист 3,0 AISI-430 | 2
";17.07.2025 16:30;БКН-2,5 02.02.000 СБ Развертка трубы внешней.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник\БКН-2,5 02.02. Развертка трубы внешней;12.05.2025 13:02;;;;;;;
;БКН-2,5 02.03.000 СБ;Балка;"БКН-3,2 02.03.001 | Подвес | 8
БКН-2,5 02.03.100 СБ | Швеллер в сборе | 1
";17.07.2025 16:30;БКН-2,5 02.03.000 СБ Балка.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник\БКН-2,5 02.03. Балка;12.05.2025 13:03;;;;;;;
;БКН-2,5 02.03.100 СБ;Швеллер в сборе;"БКН-2,5 02.03.101 | Швеллер | 1
ТБ-0,8МА 07.00.004 | Петля | 2
";17.07.2025 16:30;БКН-2,5 02.03.100 СБ Швеллер в сборе.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 02. Теплообменник\БКН-2,5 02.03. Балка\БКН-2,5 02.03.1 Швеллер в сборе;12.05.2025 13:03;;;;;;;
;БКН-2,5 07.00.000 СБ;Труба дымовая в сборе;"БКН-3,2 07.01.000 СБ | Труба дымовая | 1
БКН-3,2 07.02.000 СБ | Труба 450 в сборе | 5
БКН-3,2 07.04.000 СБ | Вставка трубы дымовой | 1
БКН-3,2 07.05.000 СБ | Выход трубы дымовой | 1
";29.07.2025 9:08;БКН-2,5 07.00.000 СБ Труба дымовая в сборе.cdw;K:\1 ЧЕРТЕЖИ\ТОПОЧНЫЕ БЛОКИ\БКН-2,5 00.00.000 Блок топочный вертикальный 2,5\БКН-2,5 07. Труба дымовая в сборе;25.07.2025 15:14;;;;;;;
